source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1958TSN,1957,Western League,overstreet,P10478,Overstreet,,0,Topeka,,,,25,p
minoraverages/1958TSN,1957,Western League,pane,B02640,Pane,Andrew,0,Sioux City,,,5,,
minoraverages/1958TSN,1957,Western League,pane,P11350,Pane,,0,Sioux City,,,,5,p
minoraverages/1958TSN,1957,Western League,pascal,B01321,Pascal,Robert,0,Des Moines,,,27,,
minoraverages/1958TSN,1957,Western League,pascal,F20095,Pascal,,0,Des Moines,,,,,1b144
minoraverages/1958TSN,1957,Western League,patton,B01337,Patton,Richard,0,Colorado Springs,,,144,,
minoraverages/1958TSN,1957,Western League,patton,F20189,Patton,,0,Colorado Springs,,,,,1b22
minoraverages/1958TSN,1957,Western League,peeler,B02137,Peeler,Thomas,0,Albuquerque,,,1,,
minoraverages/1958TSN,1957,Western League,perez-alb,B01345,Perez,George,0,Albuquerque,,,22,,
minoraverages/1958TSN,1957,Western League,perez-lin,B01359,Perez,Thomas,0,Lincoln,,,33,,
minoraverages/1958TSN,1957,Western League,perez-alb,F21101,Perez,,0,Albuquerque,,,,,of42
minoraverages/1958TSN,1957,Western League,perez-lin,F21865,Perez,,0,Lincoln,,,,,p30
minoraverages/1958TSN,1957,Western League,perez-lin,P10486,Perez,G.,0,Lincoln,,,,30,p
minoraverages/1958TSN,1957,Western League,perrotta,B01368,Perrotta,Josph,1,Lincoln,,,,,
minoraverages/1958TSN,1957,Western League,perrotta,B01368,Perrotta,Josph,2,Sioux City,,,,,
minoraverages/1958TSN,1957,Western League,perrotta,B01368,Perrotta,Josph,T,,,,43,,
minoraverages/1958TSN,1957,Western League,perrotta,F22364,Perrotta,,1,Lincoln,,,,,p
minoraverages/1958TSN,1957,Western League,perrotta,F22364,Perrotta,,2,Sioux City,,,,,p
minoraverages/1958TSN,1957,Western League,perrotta,F22364,Perrotta,,T,,,,,,p20
minoraverages/1958TSN,1957,Western League,perrotta,P10493,Perrotta,,1,Lincoln,,,,,p
minoraverages/1958TSN,1957,Western League,perrotta,P10493,Perrotta,,2,Sioux City,,,,,p
minoraverages/1958TSN,1957,Western League,perrotta,P10493,Perrotta,,T,,,,,20,p
minoraverages/1958TSN,1957,Western League,phillips,B01376,Phillips,Glen,0,Sioux City,,,20,,
minoraverages/1958TSN,1957,Western League,phillips,F21068,Phillips,,0,Sioux City,,,,,of19
minoraverages/1958TSN,1957,Western League,piercey,B01384,Piercey,Joseph,0,Amarillo,,,19,,
minoraverages/1958TSN,1957,Western League,piercey,F21739,Piercey,,0,Amarillo,,,,,p17
minoraverages/1958TSN,1957,Western League,piercey,P10930,Piercey,,0,Amarillo,,,,17,p
minoraverages/1958TSN,1957,Western League,peretti,B02385,Pieretti,Marino,0,Des Moines,,,7,,
minoraverages/1958TSN,1957,Western League,peretti,P10503,Pieretti,,0,Des Moines,,,,6,p
minoraverages/1958TSN,1957,Western League,piktuzis,B01392,Piktuzis,George,0,Des Moines,,,17,,
minoraverages/1958TSN,1957,Western League,piktuzis,F22280,Piktuzis,,0,Des Moines,,,,,p25
minoraverages/1958TSN,1957,Western League,piktuzis,P10516,Piktuzis,,0,Des Moines,,,,25,p
minoraverages/1958TSN,1957,Western League,pinkston,B01402,Pinkston,Alfred,0,Amarillo,,,28,,
minoraverages/1958TSN,1957,Western League,pinkston,F21255,Pinkston,,0,Amarillo,,,,,of138
minoraverages/1958TSN,1957,Western League,pokel,B01415,Pokel,James,0,Topeka,,,141,,
minoraverages/1958TSN,1957,Western League,pokel,F20115,Pokel,,0,Topeka,,,,,1b127
minoraverages/1958TSN,1957,Western League,powell,B01428,Powell,Robert,0,Colorado Springs,,,131,,
minoraverages/1958TSN,1957,Western League,powell,F21174,Powell,,0,Colorado Springs,,,,,of42
minoraverages/1958TSN,1957,Western League,powell,F21854,Powell,,0,Colorado Springs,,,,,p28
minoraverages/1958TSN,1957,Western League,powell,P10527,Powell,,0,Colorado Springs,,,,28,p
minoraverages/1958TSN,1957,Western League,pringle,B01431,Pringle,F. Gale,0,Amarillo,,,73,,
minoraverages/1958TSN,1957,Western League,pringle,F21672,Pringle,,0,Amarillo,,,,,p42
minoraverages/1958TSN,1957,Western League,pringle,P10534,Pringle,,0,Amarillo,,,,42,p
minoraverages/1958TSN,1957,Western League,rabung,B02290,Rabung,Charles,0,Colorado Springs,,,1,,
minoraverages/1958TSN,1957,Western League,rabung,P11009,Rabung,,0,Colorado Springs,,,,1,p
minoraverages/1958TSN,1957,Western League,ramos,B01444,Ramos,Richard,0,Colorado Springs,,,42,,
minoraverages/1958TSN,1957,Western League,ramos,F21999,Ramos,,0,Colorado Springs,,,,,p43
minoraverages/1958TSN,1957,Western League,ramos,P10542,Ramos,,0,Colorado Springs,,,,43,p
minoraverages/1958TSN,1957,Western League,ready,B01453,Ready,Charles,0,Pueblo,,,43,,
minoraverages/1958TSN,1957,Western League,ready,F21614,Ready,,0,Pueblo,,,,,p48
minoraverages/1958TSN,1957,Western League,ready,P10550,Ready,,0,Pueblo,,,,48,p
minoraverages/1958TSN,1957,Western League,riale,B01466,Riale,William,0,Albuquerque,,,48,,
minoraverages/1958TSN,1957,Western League,riale,F22295,Riale,,0,Albuquerque,,,,,p30
minoraverages/1958TSN,1957,Western League,riale,P10569,Riale,,0,Albuquerque,,,,30,p
minoraverages/1958TSN,1957,Western League,rice,B01477,Rice,Francis,0,Sioux City,,,34,,
minoraverages/1958TSN,1957,Western League,rice,F20924,Rice,,0,Sioux City,,,,,of139
minoraverages/1958TSN,1957,Western League,rice,P11369,Rice,,0,Sioux City,,,,1,p
minoraverages/1958TSN,1957,Western League,richards,B01489,Richards,Thomas,0,Colorado Springs,,,147,,
minoraverages/1958TSN,1957,Western League,richards,F22134,Richards,,0,Colorado Springs,,,,,p11
minoraverages/1958TSN,1957,Western League,richards,P10575,Richards,,0,Colorado Springs,,,,11,p
minoraverages/1958TSN,1957,Western League,rieder,B01490,Rieder,John,0,Des Moines,,,13,,
minoraverages/1958TSN,1957,Western League,rieder,F22036,Rieder,,0,Des Moines,,,,,p22
minoraverages/1958TSN,1957,Western League,rieder,P10588,Rieder,,0,Des Moines,,,,22,p
minoraverages/1958TSN,1957,Western League,rikard,B01509,Rikard,Robert,0,Sioux City,,,22,,
minoraverages/1958TSN,1957,Western League,rikard,F21286,Rikard,,0,Sioux City,,,,,of34
minoraverages/1958TSN,1957,Western League,rikard,F21488,Rikard,,0,Sioux City,,,,,c48
minoraverages/1958TSN,1957,Western League,ritchie,B01514,Ritchie,Edward,0,Pueblo,,,109,,
minoraverages/1958TSN,1957,Western League,ritchie,F22341,Ritchie,,0,Pueblo,,,,,p10
minoraverages/1958TSN,1957,Western League,ritchie,P11233,Ritchie,,0,Pueblo,,,,10,p
minoraverages/1958TSN,1957,Western League,robertson,B01523,Robertson,Daryl,0,Topeka,,,10,,
minoraverages/1958TSN,1957,Western League,robertson,F20776,Robertson,,0,Topeka,,,,,ss148
minoraverages/1958TSN,1957,Western League,robinette,B01538,Robinette,James,0,Albuquerque,,,148,,
minoraverages/1958TSN,1957,Western League,robinette,F21264,Robinette,,0,Albuquerque,,,,,of85
minoraverages/1958TSN,1957,Western League,rosenbaum,B01546,Rosenbaum,Glen,0,Colorado Springs,,,40,,
minoraverages/1958TSN,1957,Western League,rosenbaum,F21794,Rosenbaum,,0,Colorado Springs,,,,,p30
minoraverages/1958TSN,1957,Western League,rosenbaum,P10591,Rosenbaum,,0,Colorado Springs,,,,30,p
minoraverages/1958TSN,1957,Western League,sanchez,B01551,Sanchez,Roberto,0,Lincoln,,,48,,
minoraverages/1958TSN,1957,Western League,sanchez,F20807,Sanchez,,0,Lincoln,,,,,ss40
minoraverages/1958TSN,1957,Western League,santa,B02145,Santa,Edward,0,Albuquerque,,,8,,
minoraverages/1958TSN,1957,Western League,santa,P10894,Santa,,0,Albuquerque,,,,7,p
minoraverages/1958TSN,1957,Western League,schaffernoth-cs,B01567,Schaffernoth,Charles,0,Colorado Springs,,,91,,
minoraverages/1958TSN,1957,Western League,schaffernoth-dm,B01572,Schaffernoth,Joseph,0,Des Moines,,,32,,
minoraverages/1958TSN,1957,Western League,schaffernoth-cs,F21502,Schaffernoth,,0,Colorado Springs,,,,,c88
minoraverages/1958TSN,1957,Western League,schaffernoth-dm,F21936,Schaffernoth,,0,Des Moines,,,,,p30
minoraverages/1958TSN,1957,Western League,schaffernoth-dm,P10606,Schaffernoth,J.,0,Des Moines,,,,30,p
minoraverages/1958TSN,1957,Western League,schlassler,B01580,Schlassler,Robert,0,Pueblo,,,24,,
minoraverages/1958TSN,1957,Western League,schlassler,F22238,Schlassler,,0,Pueblo,,,,,p22
minoraverages/1958TSN,1957,Western League,schlassler,P10611,Schlassler,,0,Pueblo,,,,22,p
minoraverages/1958TSN,1957,Western League,schmidt-cs,B01595,Schmidt,Thomas,0,Colorado Springs,,,18,,
minoraverages/1958TSN,1957,Western League,schmidt-alb,B02159,Schmidt,Keith,0,Albuquerque,,,9,,
minoraverages/1958TSN,1957,Western League,schmidt-cs,F22246,Schmidt,,0,Colorado Springs,,,,,p18
minoraverages/1958TSN,1957,Western League,schmidt-cs,P10622,Schmidt,T.,0,Colorado Springs,,,,18,p
minoraverages/1958TSN,1957,Western League,schroyer,B02486,Schroyer,Richard,0,Lincoln,,,1,,
minoraverages/1958TSN,1957,Western League,schroyer,P11166,Schroyer,,0,Lincoln,,,,1,p
minoraverages/1958TSN,1957,Western League,scott,B01601,Scott,Richard,0,Pueblo,,,20,,
minoraverages/1958TSN,1957,Western League,scott,F21695,Scott,,0,Pueblo,,,,,p19
minoraverages/1958TSN,1957,Western League,scott,P10633,Scott,,0,Pueblo,,,,19,p
minoraverages/1958TSN,1957,Western League,setzer,B01617,Setzer,Giles,0,Des Moines,,,16,,
minoraverages/1958TSN,1957,Western League,severino,B02304,Severino,Daniel,0,Colorado Springs,,,7,,
minoraverages/1958TSN,1957,Western League,severino,P10640,Severino,,0,Colorado Springs,,,,7,p
minoraverages/1958TSN,1957,Western League,shandor,B01625,Shandor,Theodore,0,Sioux City,,,29,,
minoraverages/1958TSN,1957,Western League,shandor,F21806,Shandor,,0,Sioux City,,,,,p25
minoraverages/1958TSN,1957,Western League,shandor,P10654,Shandor,,0,Sioux City,,,,25,p
minoraverages/1958TSN,1957,Western League,sheehan,B01630,Sheehan,Gerald,0,Des Moines,,,125,,
minoraverages/1958TSN,1957,Western League,sheehan,F20388,Sheehan,,0,Des Moines,,,,,2b21
minoraverages/1958TSN,1957,Western League,sheehan,F20594,Sheehan,,0,Des Moines,,,,,3b30
minoraverages/1958TSN,1957,Western League,sheehan,F21021,Sheehan,,0,Des Moines,,,,,of40
minoraverages/1958TSN,1957,Western League,sheehan,F22251,Sheehan,,0,Des Moines,,,,,p14
minoraverages/1958TSN,1957,Western League,sheehan,P10665,Sheehan,,0,Des Moines,,,,14,p
minoraverages/1958TSN,1957,Western League,sheets,B01649,Sheets,M. Eugene,0,Colorado Springs,,,143,,
minoraverages/1958TSN,1957,Western League,sheets,F20206,Sheets,,0,Colorado Springs,,,,,1b12
minoraverages/1958TSN,1957,Western League,sheets,F20547,Sheets,,0,Colorado Springs,,,,,3b58
minoraverages/1958TSN,1957,Western League,sheets,F21335,Sheets,,0,Colorado Springs,,,,,of80
minoraverages/1958TSN,1957,Western League,sheetz,B01658,Sheetz,Ronald,0,Lincoln,,,38,,
minoraverages/1958TSN,1957,Western League,sheetz,F21879,Sheetz,,0,Lincoln,,,,,p38
minoraverages/1958TSN,1957,Western League,sheetz,P10679,Sheetz,,0,Lincoln,,,,38,p
minoraverages/emilbb,1957,Western League,shepard,M90731,Shepard,Larry,,Lincoln,,,,,
minoraverages/1958TSN,1957,Western League,shepard,M90018,Shephard,Lawrence,,Lincoln,,,,,
minoraverages/1958TSN,1957,Western League,sheridan,B02569,Sheridan,Thomas,0,Pueblo,,,5,,
minoraverages/1958TSN,1957,Western League,sheridan,P11240,Sheridan,,0,Pueblo,,,,5,p
minoraverages/1958TSN,1957,Western League,shields,B01663,Shields,William,0,Amarillo,,,154,,
minoraverages/1958TSN,1957,Western League,shields,F20997,Shields,,0,Amarillo,,,,,of154
minoraverages/1958TSN,1957,Western League,shimsheck,P11177,Shimsheck,,0,Lincoln,,,,2,p
minoraverages/1958TSN,1957,Western League,shimsheck,B02493,Shimshock,William,0,Lincoln,,,3,,
minoraverages/1958TSN,1957,Western League,shipman,B02168,Shipman,Robert,0,Albuquerque,,,7,,
minoraverages/1958TSN,1957,Western League,shipman,P10901,Shipman,,0,Albuquerque,,,,6,p
minoraverages/1958TSN,1957,Western League,shoop,B01674,Shoop,Ronald,0,Albuquerque,,,85,,
minoraverages/1958TSN,1957,Western League,shoop,F21416,Shoop,,0,Albuquerque,,,,,c82
minoraverages/1958TSN,1957,Western League,sickel,B01682,Sickel,Todd,0,Pueblo,,,46,,
minoraverages/1958TSN,1957,Western League,sickel,F20401,Sickel,,0,Pueblo,,,,,2b18
minoraverages/1958TSN,1957,Western League,sickel,F20583,Sickel,,0,Pueblo,,,,,3b25
minoraverages/1958TSN,1957,Western League,sickel,P11254,Sickel,,0,Pueblo,,,,1,p
minoraverages/1958TSN,1957,Western League,skorupski,B01696,Skorupski,John,0,Sioux City,,,18,,
minoraverages/1958TSN,1957,Western League,skorupski,F20792,Skorupski,,0,Sioux City,,,,,ss14
minoraverages/1958TSN,1957,Western League,smith,B01706,Smith,Roy,0,Topeka,,,20,,
minoraverages/1958TSN,1957,Western League,smith,F21434,Smith,,0,Topeka,,,,,c11
